Nom;Secteurs d'activité;Adresse du siège social;CP;Localité;Email
ASSOCIATION FARCIENNOISE POUR LA PROMOTION DE LA RELIGION ISLAMIQUE ET DE L'ENSEIGNEMENT CORANIQUE ENTRE MUSULMANS;Culte;Rue du Wainage 105 / b;6240;Farciennes;info@assakina.be
Association Francophone d’Aide aux Handicapés Mentaux;Handicap;Avenue Albert Giraud 24;1030;Bruxelles;martineberger61@hotmail.com
Espace de decouverte du miel et de l'abeille, royale amicale saint Thibaut;Nature;rue fontaine des malades 17;6043;Ransart;jacques.leclerc4@gmail.com
Ac gilly;Sport;Rue des Ateliers 28;6060;Gilly;jmbaudoux@hotmail.com
Acli - cercle marchiennes-monceau-goutroux;Affaires sociales;Rue des Déportés 1;6031;Monceau-sur-Sambre;michel-dicataldo@hotmail.com
Action catholique batelière;Culte;Quai du Sud  ( bateau chapelle ) 1;6030;Marchienne-au-Pont;bateau.chapelle@skynet.be
Activ;Affaires sociales;Impasse Sainte Barbe 2 bte 1;6030;Marchienne-au-Pont;arif@yahoo.fr
Les têtes de l'art;Culture;Rue de la Providence 136;6030;Marchienne-au-Pont;info@tetesdelart.org
Aide à l'enfance défavorisée;Famille;Rue du Marché 3;6140;Fontaine-L'Evêque;jvboon@skynet.be
Amicale des oeuvres sociales des sapeurs-pompiers de charleroi;Affaires sociales;Rue de Hornes 24;6040;Jumet;mellaerts@mail.be
Amicale du personnel retraîté de la gendarmerie et de la police;Seniors;Rue de Presles 181;6280;Gerpinnes;colignon.lorent@skynet.be
A la lumière du m'zab 360O;Jeunesse;Rue de Châtelet 21;6030;Marchienne-au-Pont;guerrara@live.be
Amnesty international - coordination;Justice et droit;Rue Paul Janson 67;6040;Jumet;
And roll;Sport / Loisirs;Chaussée de Bruxelles 22;6040;Jumet;rollerderbycharleroi@gmail.com
Anthracirk;Culture;Rue Charniat 69;6042;Lodelinsart;cerise1707@hotmail.com
Antre du jeu;Enfance / Jeunesse |Famille;Avenue Mascaux 415;6001;Marcinelle;encadrementpsychomoteur@charleroi.be
Arcs evasion;Sport / Loisirs;Rue des Fauvettes 15;6001;Marcinelle;sebastien@arcs-evasion.be
Art fantesies;Culture;Rue des Sarts 17;6010;Couillet;patrick.gonze@laposte.net
Art session;Culture;Rue du Masy 1;6040;Jumet;michelmoliterno2@hotmail.com
