NOM;TVA;Forme Juridique;Nom du PAE;Adresse;CP;Localité;Téléphone;Fax;ACTIVITE;N° parcelle
FACQ;416587977;S.A.;P.A.E. de Charleroi-Gosselies 2;Chaussée de Fleurus 157;6041.0;CHARLEROI;071/49 29 01;071/49 29 00;Showroom - Cuisine, Salle de bain, Sanitaire;4
NEWREST SERVAIR BELGIUM;887546139;S.P.R.L.;P.A.E. de Charleroi-Gosselies 2;Rue du Cerisier, 20;6041.0;GOSSELIES;071/35 50 52;;Service aux compagnies aériennes;4
S.A.B.C.A.;405770992;S.A.;P.A.E. de Charleroi-Gosselies 2;Rue des Fusillés 11;6041.0;CHARLEROI;071/25 42 30;071/34 42 14;Construction aéronautique;8
SENTIERS DU MONDE;863527256;S.P.R.L.;P.A.E. de Charleroi-Gosselies 2;Rue Pont à Migneloux 33;6041.0;CHARLEROI;071/81 74 23;071/81 74 23;Entrepôt;4
SONACA;418217577;S.A.;P.A.E. de Charleroi-Gosselies 2;Route Nationale 5;6041.0;CHARLEROI;071/25 53 22;071/25 56 56 ou 071/25 56 65;Aéronautique;6-7-8-13-14
TURBOTRUCKS CHARLEROI;881161149;S.A.;P.A.E. de Charleroi-Gosselies 2;Rue du Cerisier 2;6041.0;CHARLEROI;071/25 00 10;071/35 31 05;Commerce de gros de poids lourds;10
WAN (WALLONIE AEROTRAINING NETWORK);467869404;A.S.B.L.;P.A.E. de Charleroi-Gosselies 2;Chaussée de Fleurus 179;6041.0;CHARLEROI;071/34 81 80;071/34 81 81;Centre de formation en aéronautique;9
BUSINESS CONSULTANCY SERVICE;;;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;;Atlas bureau
INNOVASIL;644385153;S.P.R.L.;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;Recherche-développement en biotechnologie;Atlas bureau
ISW (ISO WALLONIE) - SCAFATI DI GIORGIO;;;P.A.E. de Charleroi-Airport 2;Rue de Gosselies 13;6040.0;JUMET;;;;Atlas bureau
